"","O","NA.","NA..1","elev"
"66",-19.6436004638672,-116.54169205,50.79161035,1946.30480957031
"67",-18.2751007080078,-116.45835875,50.79161035,2040.91540527344
"68",-17.4839992523193,-116.37502545,50.79161035,1120.57397460938
"69",-17.3526992797852,-116.29169215,50.79161035,1094.53759765625
"70",-17.7726993560791,-116.20835885,50.79161035,906.906677246094
"71",-18.8649005889893,-116.12502555,50.79161035,1451.66882324219
"72",-18.9627990722656,-116.04169225,50.79161035,2217.96557617188
"73",-15.3404998779297,-117.95835815,50.70827705,441
"74",-16.4244003295898,-117.87502485,50.70827705,1163.23486328125
"75",-15.4755001068115,-117.79169155,50.70827705,441
"76",-16.2670993804932,-117.70835825,50.70827705,807.412780761719
"77",-17.691499710083,-117.62502495,50.70827705,1811.1767578125
"78",-18.3236999511719,-117.54169165,50.70827705,1789.18688964844
"79",-17.6840000152588,-117.45835835,50.70827705,1059.31359863281
"80",-18.6235008239746,-117.37502505,50.70827705,2506.75415039062
"81",-18.4698009490967,-117.29169175,50.70827705,1480.44226074219
"82",-18.1368007659912,-117.20835845,50.70827705,2054.40014648438
"83",-17.1730995178223,-117.12502515,50.70827705,1117.51110839844
"84",-18.0055999755859,-117.04169185,50.70827705,2092.34326171875
"85",-19.2276000976562,-116.95835855,50.70827705,2558.8486328125
"86",-18.744800567627,-116.87502525,50.70827705,2264.6640625
"87",-19.8822994232178,-116.79169195,50.70827705,2840.89672851562
"88",-19.0235004425049,-116.70835865,50.70827705,1944.91198730469
"89",-19.6326007843018,-116.62502535,50.70827705,2477.080078125
"90",-19.5921993255615,-116.54169205,50.70827705,1591.40649414062
"91",-19.4573993682861,-116.45835875,50.70827705,1840.60241699219
"92",-18.5653991699219,-116.37502545,50.70827705,2193.85083007812
"93",-17.5326995849609,-116.29169215,50.70827705,1068.35241699219
"94",-17.3770008087158,-116.20835885,50.70827705,1233.42041015625
"95",-17.6243991851807,-116.12502555,50.70827705,934.724731445312
"96",-19.3992004394531,-116.04169225,50.70827705,1740.77001953125
